App/Platform Name,Publisher Name,Type,Site Rating (gray or white),Category,Behavioral Keywords,Market Requests,Audience
www.grimsbytelegraph.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",55622323,UK General Market
www.bucksfreepress.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",55081590,UK General Market
www.wirralglobe.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",55059675,UK General Market
www.dayoutwiththekids.co.uk,,Digital Video,white,Travel & Transport,"Streaming, Digital Video",54609346,UK General Market
www.twtd.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",53922102,UK General Market
apps.talktalk.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",51456696,UK General Market
www.leaderlive.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",50136399,UK General Market
www.sthelensstar.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",49459314,UK General Market
www.westerntelegraph.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",46591407,UK General Market
www.ipswichstar.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",46297160,UK General Market
www.nwemail.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",46255950,UK General Market
www.lincolnshirelive.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",45363935,UK General Market
www.greenocktelegraph.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",44953437,UK General Market
www.cargurus.co.uk,,Digital Video,white,Auto & Motoring,"Streaming, Digital Video",44269016,UK General Market
www.portsmouth.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",43073898,UK General Market
www.cruisemummy.co.uk,,Digital Video,white,Travel & Transport,"Streaming, Digital Video",42946399,UK General Market
www.horseandhound.co.uk,,Digital Video,white,Pets & Outdoors,"Streaming, Digital Video",42270201,UK General Market
www.northwichguardian.co.uk,,Digital Video,white,Local & Regional News,"Streaming, Digital Video",41540347,UK General Market
www.vinted.co.uk,,Digital Video,white,Shopping & Deals,"Streaming, Digital Video",40928449,UK General Market
who-called.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",40313805,UK General Market
www.chesterstandard.co.uk,,Digital Video,white,Lifestyle & Other,"Streaming, Digital Video",39625572,UK General Market
www.capitalfm.com,,Digital Video,white,Radio & Audio,"Streaming, Digital Video",39570489,UK General Market
www.mathsgenie.co.uk,,Digital Video,white,Education & Reference,"Streaming, Digital Video",38774916,UK General Market
www.anfieldwatch.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",37015606,UK General Market
community.babycentre.co.uk,,Digital Video,white,Parenting & Family,"Streaming, Digital Video",35376412,UK General Market
forums.bluemoon-mcfc.co.uk,,Digital Video,white,Sports & Football,"Streaming, Digital Video",35329303,UK General Market
