Sheet,Category,Segment,Description,Data Dictionary Naming
Political,Voters by Political Affiliation/Party,Unregistered Voters Liberal,Modeled liberal leaning consumer with no voter match,Voters_Prospective_Unreg_Lib
Political,Voters by Political Affiliation/Party,Watch Conservative News,Voters who are Likely to Watch on Conservative News Outlets,Social_ConservativeNews
Political,Voters by Political Affiliation/Party,Watch Liberal News,Voters who are Likely to Watch on Liberal News Outlets,Social_LiberalNews
Political,Voters by Voting History,All General Voters 1 of 4,Individuals who have participated in 1 of the last 4 General Elections,ALL_1OF4_GENERAL_VOTER
Political,Voters by Voting History,All General Voters 2 of 4,Individuals who have participated in 2 of the last 4 General Elections,ALL_2OF4_GENERAL_VOTER
Political,Voters by Voting History,All General Voters 3 of 4,Individuals who have participated in 3 of the last 4 General Elections,ALL_3OF4_GENERAL_VOTER
Political,Voters by Voting History,All General Voters 4 of 4,Individuals who have participated in 4 of the last 4 General Elections,ALL_4OF4_GENERAL_VOTER
Political,Voters by Voting History,All Primary Voters 1 of 4,Individuals who have participated in 1 of the last 4 Primaries,ALL_1OF4_PRIMARY_VOTER
Political,Voters by Voting History,All Primary Voters 2 of 4,Individuals who have participated in 2 of the last 4 Primaries,ALL_2OF4_PRIMARY_VOTER
Political,Voters by Voting History,All Primary Voters 3 of 4,Individuals who have participated in 3 of the last 4 Primaries,ALL_3OF4_PRIMARY_VOTER
Political,Voters by Voting History,All Primary Voters 4 of 4,Individuals who have participated in 4 of the last 4 Primaries,ALL_4OF4_PRIMARY_VOTER
Political,Voters by Voting History,Cord Cutters,Likely Cord Cutters,Demo_CordCutters
Political,Voters by Voting History,Democratic General Voters 1 of 4,Individuals who have participated in 1 of the last 4 General Elections and are Democrats,DEM_1OF4_GENERAL_VOTER
Political,Voters by Voting History,Democratic General Voters 2 of 4,Individuals who have participated in 2 of the last 4 General Elections and are Democrats,DEM_2OF4_GENERAL_VOTER
Political,Voters by Voting History,Democratic General Voters 3 of 4,Individuals who have participated in 3 of the last 4 General Elections and are Democrats,DEM_3OF4_GENERAL_VOTER
Political,Voters by Voting History,Democratic General Voters 4 of 4,Individuals who have participated in 4 of the last 4 General Elections and are Democrats,DEM_4OF4_GENERAL_VOTER
Political,Voters by Voting History,Democratic Primary Voters 1 of 4,Individuals who have participated in 1 of the last 4 Democratic Primaries,DEM_1OF4_PRIMARY_VOTER
Political,Voters by Voting History,Democratic Primary Voters 2 of 4,Individuals who have participated in 2 of the last 4 Democratic Primaries,DEM_2OF4_PRIMARY_VOTER
Political,Voters by Voting History,Democratic Primary Voters 3 of 4,Individuals who have participated in 3 of the last 4 Democratic Primaries,DEM_3OF4_PRIMARY_VOTER
Political,Voters by Voting History,Democratic Primary Voters 4 of 4,Individuals who have participated in 4 of the last 4 Democratic Primaries,DEM_4OF4_PRIMARY_VOTER
Political,Voters by Voting History,Early & Absentee Voters,Voters who are likely to  early or absentee voters,Voters_EarlyAbs
Political,Voters by Voting History,First Time 2022 Voters,Age between 18 and 22 or registered after 11/2020 and voted in 2022 election / none prior,Voters_2022_FirstTime
Political,Voters by Voting History,First Time 2023 Voters,"Age between 18 and 22, or registered after 11/2022 and voted in a 2023 election",Voters_2023_FirstTime
Political,Voters by Voting History,First Time 2024 Voters,"Age between 18 and 22, or registered after 11/2022 and has yet to vote",Voters_2024_FirstTime
Political,Voters by Voting History,Frequent General Election Voters,Likely voters who frequently vote in general elections,Voters_FreqGen
Political,Voters by Voting History,Frequent Primary Election Voters - Democrat,Likely voters who are Democrats and who frequently vote in primary elections,Voters_FreqPrimDem
Political,Voters by Voting History,Frequent Primary Election Voters - Republican,Likely voters who are Republicans and who frequently vote in primary elections,Voters_FreqPrimRep
Political,Voters by Voting History,GOP General Voters 1 of 4,Individuals who have participated in 1 of the last 4 General Elections and are Republicans,GOP_1OF4_GENERAL_VOTER
Political,Voters by Voting History,GOP General Voters 2 of 4,Individuals who have participated in 2 of the last 4 General Elections and are Republicans,GOP_2OF4_GENERAL_VOTER
Political,Voters by Voting History,GOP General Voters 3 of 4,Individuals who have participated in 3 of the last 4 General Elections and are Republicans,GOP_3OF4_GENERAL_VOTER
Political,Voters by Voting History,GOP General Voters 4 of 4,Individuals who have participated in 4 of the last 4 General Elections and are Republicans,GOP_4OF4_GENERAL_VOTER
Political,Voters by Voting History,GOP Primary Voters 1 of 4,Individuals who have participated in 1 of the last 4 Republican Primaries,GOP_1OF4_PRIMARY_VOTER
Political,Voters by Voting History,GOP Primary Voters 2 of 4,Individuals who have participated in 2 of the last 4 Republican Primaries,GOP _2OF4_PRIMARY_VOTER
Political,Voters by Voting History,GOP Primary Voters 3 of 4,Individuals who have participated in 3 of the last 4 Republican Primaries,GOP _3OF4_PRIMARY_VOTER
Political,Voters by Voting History,GOP Primary Voters 4 of 4,Individuals who have participated in 4 of the last 4 Republican Primaries,GOP_4OF4_PRIMARY_VOTER
Political,Voters by Voting History,Gubernatorial Voters,Voters who vote during Governor races,Voters_Gubernatorial_2026_All
Political,Voters by Voting History,Likely to Vote in Person,Voter has voted in person more often than any other method of voting,VotingMethod_InPerson
Political,Voters by Voting History,Likely Voted Overseas,Voter matches to a record in the 2022 or 2024 overseas data (FVAP),VotingMethod_OverSeas
Political,Voters by Voting History,Mid-Term General Election Voters - Democrat,Democrats likely to turnout in Mid-Term General Elections,Voters_MidGenDem
Political,Voters by Voting History,Mid-Term General Election Voters - Republican,Republicans likely to turnout in Mid-Term General Elections,Voters_MidGenRep
Political,Voters by Voting History,Mid-Term Primary Election Voters - Democrat,Democrats likely to turnout in Mid-Term Primary Elections,Voters_MidPriDem
Political,Voters by Voting History,Mid-Term Primary Election Voters - Republican,Republicans likely to turnout in Mid-Term Primary Elections,Voters_MidPriRep
Political,Voters by Voting History,Newly Registered Voters,Likely voters who are newly registered,Voters_NewReg
Political,Voters by Voting History,Presidential Election Voters Only,Likely voters who only vote in presidential elections,Voters_PresOnly
Political,Voters by Voting History,Presidential General Election Voters - Democrat,Democrats likely to turnout in Presidential General Elections,Voters_PresGenDem
Political,Voters by Voting History,Presidential General Election Voters - Republican,Republicans likely to turnout in Presidential General Elections,Voters_PresGenRep
Political,Voters by Voting History,Presidential Primary Election Voters - Democrat,Democrats likely to turnout in Presidential Primary Elections,Voters_PresPriDem
Political,Voters by Voting History,Presidential Primary Election Voters - Republican,Republicans likely to turnout in Presidential Primary Elections,Voters_PresPriRep
Political,Voters by Voting History,Senate Voters,Voters who vote during Senate races,Voters_Senate_2026_All
Political,Voters by Voting History,Swing Counties,Counties that could vote either Republican or Democrat in Elections,Voter_Swing_County
Political,Voters by Voting History,Swing Counties in Presidential Elections,Counties that could vote either Republican or Democrat in Presidential  Elections,Voter_Swing_State_Pres
Political,Voters by Voting History,Swing Precincts,Voter lives in a precinct where the difference in votes cast between Trump and Harris was 10% or less,Voter_Swing_Precinct
Political,Voters by Voting History,Swing Voters - Off-Year Elections,Swing voters likely to turnout in off-year Elections,Voters_SwingOffYear
Political,Voters by Voting History,Swing Voters - Presidential Elections,Swing voters likely to turnout in Presidential Elections,Voters_SwingPresidential
Political,Voters by Voting History,Unregistered Voters,Consumer record without a voter match,Voters_Prospective_Unreg
Political,Voters by Voting History,Voter Lives in a Battleground State,"Voter lives in one of these states AZ,CO,FL,GA,IA,MI,MN,NV,NH,NC,OH,PA,TX,VA,WI",Voter_Battleground_State_Pres
Political,Voters by Voting History,Voter Lives in a Congressional Tossup District,"Voter lives in one of these districts AL02,CA09,CA49,FL09,FL23,KS03,MD06,MI03,MI08,MN02,NH01,NH02,NJ03,NV01,NV04,OR04,TX28,VA07,VA10,WA08,AK01,CA47,CT05,IL17,IN01,ME02,NV03,NY03,NY18,OH01,OH09,OR06,PA,17,TX34",Voter_Congressional_Tossup
Political,Voters by Voting History,Voter Lives in a Swing State,"Voter lives in one of these states AZ, FL, MT, WV,OH, NV, WI, MI, PA, TX",Voter_Swing_Swing_US_Senate
Political,Voters by Demographics,Active Investors,Individuals who are likely Active Investors,Social_Investor
Political,Voters by Demographics,Active Investors,Voters who are Active Investors,Social_ActiveInvestor
Political,Voters by Demographics,Affluent Voters,Likely voters with an income of $150M+,Demo_Affluent
Political,Voters by Demographics,African American Voters,Likely voters of African American ethnicity,Demo_AfrAm
Political,Voters by Demographics,American Patriots,"A proud American, rooted in tradition and honor for those who serve",Voters_American_Patriots
Political,Voters by Demographics,Armed Services,Voters who likely served in the Armed Services,Demo_OccupArmedServices
Political,Voters by Demographics,Asian Voters,Likely Asian Voters,Demo_Asian
Political,Voters by Demographics,Blue Collar,Voters who are likely Blue Collar workers,Demo_OccupBlueCollar
Political,Voters by Demographics,Boomer Voters,Likely voters who were born in the post WWII baby boom and are between the ages of 50 and 70,Demo_Boomer
Political,Voters by Demographics,Buddhist Voters,Likely voters who are Buddhist,Demo_Buddhist
Political,Voters by Demographics,Catholic Voters,Likely voters who are Catholic,Demo_Catholic
Political,Voters by Demographics,Caucasian Voters,Likely voters of Caucasian ethnicity,Demo_Caucasian
Political,Voters by Demographics,Current Affairs,Individuals who actively are interested in Current Affairs,Social_CurrentAffairs
Political,Voters by Demographics,Domestic Traveler(s),Individuals who travel regularly domestically,Social_TravelDomestic
Political,Voters by Demographics,Eastern Orthodox Voters,Likely voters who are Eastern Orthodox,Demo_EasternOrthodox
Political,Voters by Demographics,Education,Voters who are likely work in Education,Demo_OccupEducation
Political,Voters by Demographics,Evangelical,Voters who are Evangelicals,Social_Evangelical
Political,Voters by Demographics,Female Voters,Likely voters whose gender is female,Demo_Female
Political,Voters by Demographics,Fence Sitters,Voters who are Likely Fence Sitters,Voters_FenceSitter
Political,Voters by Demographics,Gen X Voters,Likely voters who are known as Generation X and are between the ages of 35 and 50,Demo_GenX
Political,Voters by Demographics,Greek Orthodox Voters,Likely voters who are Greek Orthodox,Demo_GreekOrthodox
Political,Voters by Demographics,Healthcare Employees,Voters who are likely Healthcare Employees,Demo_OccupHealthcare
Political,Voters by Demographics,Hindu Voters,Likely voters who are Hindu,Demo_Hindu
Political,Voters by Demographics,Hispanic/Latin American Voters,Likely voters of Hispanic or Latin American ethnicity,Demo_Hispanic
Political,Voters by Demographics,Home Improvement Enthusiasts,Individuals who are likely to make improvements to their House,Social_HomeImprovement
Political,Voters by Demographics,Homemaker/Retired,Voters who are likely Homemakers or Retired,Demo_OccupHomeMakerRetired
Political,Voters by Demographics,Hunting and Fishing Enthusiasts,Voters who are Hunting and Fishing Enthusiasts,Social_HuntFIsh
Political,Voters by Demographics,Influential Voters,"Voters who are Influential ie) Elected Officials, Bloggers, Donors, Executives etc",Social_Influencer
Political,Voters by Demographics,Islamic Voters,Likely voters who are Islamic,Demo_Islamic
Political,Voters by Demographics,Jewish Voters,Likely voters who are Jewish,Demo_Jewish
Political,Voters by Demographics,Likely Amazon Prime Subscribers,individuals who are Likely Amazon Prime Subscribers,Social_AmazonPrime
Political,Voters by Demographics,Likely Retired or Pensioner,Age 65+ or age 62+ and HH occupation is Retired or Pensioner,Demo_SocSec_Medicare
Political,Voters by Demographics,Likely to Have Insurance at Work,Voters who are likely to have insurance through their Employer,Demo_Insurance
Political,Voters by Demographics,Likely to Have Medicare,Voters who are likely to have Medicare,Demo_Medicare
Political,Voters by Demographics,Lutheran Voters,Likely voters who are Lutheran,Demo_Lutheran
Political,Voters by Demographics,Male Voters,Likely voters whose gender is male,Demo_Male
Political,Voters by Demographics,Married Voters,Likely voters who are married,Demo_Married
Political,Voters by Demographics,Middle Class Voters,Likely voters who are in the middle income bracket,Demo_MiddleClass
Political,Voters by Demographics,Middle Management,Voters who are likely in Middle Management Position,Demo_OccupMiddleManagement
Political,Voters by Demographics,Millennial Latino Voters,Likely voters who are of Hispanic or Latin American ethnicity and are known as Generation Y and are between the ages of 18 and 35,Voters_MillennialLatino
Political,Voters by Demographics,Millennial Voters,Likely voters who are known as Generation Y and are between the ages of 18 and 35,Demo_Millennial
Political,Voters by Demographics,Mormon Voters,Likely voters who are Mormon,Demo_Mormon
Political,Voters by Demographics,Occuption Secretarial,"Voters who are ikely in a secretary, typist, legal secretary, paralegal/assistant, keypunch/data entry field",Demo_OccupSecretarial
Political,Voters by Demographics,Protestant Voters,Likely voters who are Protestant,Demo_Protestant
Political,Voters by Demographics,Regular Smokers,Individuals who are likely to smoke or buy tobacco products,Social_Smoker
Political,Voters by Demographics,Rural Voters,Likely Voters that live in Rural  Areas/Counties,Voters_Rural
Political,Voters by Demographics,Science and Technology,Voters who are likely in Science and Technology,Demo_OccupScienceTechnology
Political,Voters by Demographics,Senior Voters,Likely voters who are 65 years of age or older,Demo_Senior
Political,Voters by Demographics,Shinto Voters,Likely voters who are Shinto,Demo_Shinto
Political,Voters by Demographics,Sikh Voters,Likely voters who are Sikh,Demo_Sikh
Political,Voters by Demographics,Single Parent Voters,Likely voters who are single parents,Demo_SingleParent
Political,Voters by Demographics,Single Voters,Likely voters who are single,Demo_Single
Political,Voters by Demographics,Single White Female Voters,Voters who are likely Single White Female Voters,Voters_WhiteFemaleSingle
Political,Voters by Demographics,Sports Enthusiasts,Individuals who are Sports Fans,Social_SportsFan
Political,Voters by Demographics,Teacher Union,Likely Teacher Union Member,Demo_Teachers_union
Political,Voters by Demographics,Urban Voters,Likely Voters that live in Urban Areas/Counties,Voters_Urban
Political,Voters by Demographics,Veterans,Voters who are likely Veterans,Social_Veteran
Political,Voters by Demographics,Voters by Occupation: Civil Service,Likely voters whose occupation is in the Civil Service sector,Demo_OccupCivilService
Political,Voters by Demographics,Voters with Children,Likely voters who have one or more children,Demo_HasChild
Political,Voters by Demographics,Voters with Grandchildren,Likely voters who have one or more grandchildren,Demo_HasGrandChild
Political,Voters by Demographics,White Collar Executives,Voters who are likely White Collar Executives,Demo_OccupWhiteCollarExecutive
Political,Voters by Demographics,White Collar Workers,Voters who are likely  White Collar Workers,Demo_OccupWhiteCollar
Political,Voters by Demographics,White Male No College,Voters who are likely White Male No College,Voters_WhiteMaleNonCollege
Political,Voters by Demographics,Working Class Voters,Likely voters who are in the moderate income bracket,Demo_WorkingClass
Political,Voters by Issue Profile,1st Amendment Supporters,Voters who support the 1st Amendment,Social_1stAmendmentSupport
Political,Voters by Issue Profile,2nd Amendment Supporters,Voters who support the right to bear arms,Social_2ndAmend
Political,Voters by Issue Profile,Active Military,Individuals who are active military OR An individual with a military address,Social_Military
Political,Voters by Issue Profile,Animal Rights Supporters,Individuals who have donated to an animal rights group or environmental/wildlife group OR An individual identified as a pet owner or has an interest in pets,Social_Animal
Political,Voters by Issue Profile,Black Lives Matter Supporters,Voters who are likely Black Lives Matter Supporters,Social_BlackLivesMatter_Support
Political,Voters by Issue Profile,Cost-of-Living Concerned Voters,Voters who are likely concerned with the cost of living,COL_CONCERNED_VOTERS
Political,Voters by Issue Profile,Education Reform,Voters who are likely interested in Education Issues,Social_Education
Political,Voters by Issue Profile,Education Supporters,Individuals who have donated to an education-focused political organization or who work in the education field,Social_Education
Political,Voters by Issue Profile,Environmentalists,Voters who are Environmentalists,Social_Enviro
Political,Voters by Issue Profile,Gun Control Advocates,Voters who support legislation regarding Gun Control,Social_GunControl
Political,Voters by Issue Profile,Health Cost Concerned,Voters who are likely concerned with the cost of healthcare,HEALTH_COST_CONCERNED_VOTERS
Political,Voters by Issue Profile,Interested in Immigration Reform,Voters who Support Immigration Reform,Social_ImmigrationReform
Political,Voters by Issue Profile,Labor Supporters,Interested in Labor issues,Social_OrganizedLabor
Political,Voters by Issue Profile,Legalized Gambling Supporters,Voters who support Legalized Gambling,Social_Gambling
Political,Voters by Issue Profile,LGBTQ Supporters,Voters who will Likely Support LGBTQ Issues,Social_LGBT
Political,Voters by Issue Profile,Libertarian Donors,Individuals who donate to Libertarian campaigns or causes,Social_LibertarianDonors
Political,Voters by Issue Profile,Marriage Equality Opposition,"Individuals who have donated to organizations, campaigns and committees that support the traditional form of marriage between a man and woman",Social_MarriageOpposition
Political,Voters by Issue Profile,Marriage Equality Supporters,"Individuals who have supported campaigns, committees and organizations that promote Marriage Equality (ie LGBTQ Groups), as well as individuals that have supported referendums on Marriage Equality",Social_MarriageSupport
Political,Voters by Issue Profile,Me Too Supporters,Voters who are Likely Me Too Movement Supporters,Social_MeTooSupport
Political,Voters by Issue Profile,Military Supporters,"Individuals who are military supporters They are active military, veterans or have a family member who is active military or a veteran",Social_MiltSupport
Political,Voters by Issue Profile,Minimum Wage- Opposition,Voters who Oppose Increasing the Minimum Wage,Social_MinWage_Oppose
Political,Voters by Issue Profile,Minimum Wage Supporters,Voters who Support Increasing the Minimum Wage,Social_MinWage_Support
Political,Voters by Issue Profile,Pro Choice,Voters who are likely Pro-Choice,Social_ProChoice
Political,Voters by Issue Profile,Pro Life,Voters who are likely Pro-Life,Social_ProLife
Political,Voters by Issue Profile,School Choice Opposers,Lower than 65% on Aristotle’s School Choice Model,Social_SchoolChoiceOppose
Political,Voters by Issue Profile,School Choice Supporters,Greater than 65% on Aristotle’s School Choice Model,Social_SchoolChoiceSupport
Political,Voters by Issue Profile,Socially Conservative,"Individuals whose social issues stance leans conservative - and are supporters of such issues as Pro Life, 2nd Amendment, Death Penalty, etc",Social_Conservative
Political,Voters by Issue Profile,Socially Liberal,Individuals whose social issues stance does not strongly lean moderate or conservative,Social_Liberal
Political,Voters by Issue Profile,Socially Moderate,Individuals whose social issues stance does not strongly lean liberal or conservative,Social_Moderate
Political,Voters by Issue Profile,Supports Border Security,Individuals who support Police or Border Security,Social_BorderSecurity
Political,Voters by Issue Profile,Supports Marijuana Legalization,Voters who are likely Support Marijuana Legalization,Social_MarijuanaReform
Political,Voters by Issue Profile,Tax Reform Supporters,Voters who are Likely interested in Tax Issues,Social_TaxReform
Political,Voters by Issue Profile,Term Limit Supporters,Voters who are likely in favor of term limits for elected officials,TERM_LIMIT_SUPPORTERS
Political,Voters by Issue Profile,Universal Health Care- Opposition,Voters who oppose Universal Health Care,Social_UCA_Opposition
Political,Voters by Issue Profile,Universal Health Care- Support,Voters who support Universal Health Care,Social_UCA_Support
Political,Voters by Donation History,ActBlue Donors,Voters who have donated through ActBlue,Voters_ActBlue_Donors
Political,Voters by Donation History,Democratic Donors,Individuals who are  donate to Democrat or Progressive Causes,Social_DemDonors
Political,Voters by Donation History,Donors - Political Causes,Donors to Political Causes,Social_Charitable_Donor
Political,Voters by Donation History,Donors- Charitable Causes,Donors to Charitable Causes,Social_Political_Donor
Political,Voters by Donation History,High Dollar Democrat Donors,High Dollar Democrat Donors,Donors_HighDollarDem
Political,Voters by Donation History,High Dollar Donors,High Dollar Political  Donors,Donors_HighDollar
Political,Voters by Donation History,High Dollar Federal Dem Donors,Modeled democrat > 70% and modeled federal donor dollar amount $250+,Donors_HighDollarFedDem
Political,Voters by Donation History,High Dollar Federal Rep Donors,Modeled republican > 70% and modeled federal donor dollar amount $250+,Donors_HighDollarFedRep
Political,Voters by Donation History,High Dollar Republican Donors,High Dollar Republican Donors,Donors_HighDollarRep
Political,Voters by Donation History,High Dollar State Dem Donors,modeled democrat > 70% and modeled state donor dollar amount $250+,Donors_HighDollarStateDem
Political,Voters by Donation History,High Dollar State Rep Donors,modeled republican > 70% and modeled state donor dollar amount $250+,Donors_HighDollarStateRep
Political,Voters by Donation History,Republican Donors,Individuals who  donate to Republican or Conservative Causes,Social_RepDonors
Government,Government,Air Traffic Controllers,All those who are Likely Air Traffic Controllers,CIVSERV_AIRTRAFFIC_CTRL
Government,Government,All Active Duty Service Members,All those who are Active Duty Service Members,ARMED_FORCES_ALL
Government,Government,All Civil Servants,All those who are Likely Civil Servants,CIVSERV_ALL
Government,Government,All Government Elected Officials,All Government Elected Officials,GOVT_ELECTED_OFFICIALS
Government,Government,All Government Employees,All Government Employees,GOVT_EMPLOYEE
Government,Government,All Legislative Staff for Elected Officials,All Legislative Staff for Elected Officials,GOVT_LEGISLATIVE_STAFF
Government,Government,All Members of a Navy Credit Union,All Members of a Navy Credit Union and their families,ARMED_FORCES_NAVYCREDIT
Government,Government,All Members of an Army Credit Union,All Members of an Army Credit Union and their families,ARMED_FORCES_ARMYCREDIT
Government,Government,All Public Servants,All Public Servants,GOVT_PUBSERV_ALL
Government,Government,Armed Forces Veteran,A veteran of the Armed Services,ARMED_FORECES_VETERANS
Government,Government,Congressional Staffers,Staff members for members of congress,GOVT_CONGRESSIONAL_STAFFERS
Government,Government,Congressional Staffers--Democrats,Staff members for members of congress who work for members of the Democratic Party,GOVT_CONGRESSIONAL_STAFFERS_DEM
Government,Government,Congressional Staffers--Republicans,Staff members for members of congress who work for members of the Republican Party,GOVT_CONGRESSIONAL_STAFFERS_REP
Government,Government,Corrections and Parole Officers,All those who are Likely Corrections or Parole Officers,CIVSERV_CORRECTIONS_PROBATION_PAROLE
Government,Government,Court Reporter,All those who are Likely Court Reporters,CIVSERV_COURT_REPORTER
Government,Government,Education Employees,Those who are Education Employees,EDUC_EMPLOYEES
Government,Government,Educators who are Principals or Deans,Educators who are Likely Principals or Deans,EDUC_PRINCIP_DEAN
Government,Government,Educators who are Teachers,Those who are Likely Teachers,EDUC_TEACHERS
Government,Government,Elected Government Officials--African American,Elected officials who are of African American decent,GOVT_ELECTED_OFFICIALS_AFAM
Government,Government,Elected Government Officials--Democrats,Elected officials who are members of the Democratic Party,GOVT_ELECTED_OFFICIALS_DEM
Government,Government,Elected Government Officials--Female,Elected officials who are gender Female,GOVT_ELECTED_OFFICIALS_FEM
Government,Government,Elected Government Officials--Latin,Elected officials who are of Latin or Hispanic decent,GOVT_ELECTED_OFFICIALS_LAT
Government,Government,Elected Government Officials--Male,Elected officials who are Male,GOVT_ELECTED_OFFICIALS_MAL
Government,Government,Elected Government Officials--Republicans,Elected officials who are members of the Republican Party,GOVT_ELECTED_OFFICIALS_REP
Government,Government,Elected Officials--Democratic Females,Elected Officials who are Democratic Females,GOVT_ELECTED_OFFICIALS_FEM_DEM
Government,Government,Elected Officials--Democratic Males,Elected Officials who are Democratic Males,GOVT_ELECTED_OFFICIALS_MAL_DEM
Government,Government,Elected Officials--Republican Females,Elected Officials who are Republican Females,GOVT_ELECTED_OFFICIALS_FEM_REP
Government,Government,Elected Officials--Republican Males,Elected Officials who are Republican Males,GOVT_ELECTED_OFFICIALS_MAL_REP
Government,Government,Federal and State Elected Officials,All elected officials from the Federal or State level,GOVT_ELECTED_OFFICIALS_FED_STATE
Government,Government,Federal Elected Officals,All elected officals at the federal level,GOVT_ELECTED_OFFICIALS_FED
Government,Government,Federal Elected Officals--Democrats,All elected officals at the federal level who are members of the Democratic Party,GOVT_ELECTED_OFFICIALS_FED_DEM
Government,Government,Federal Elected Officals--Republicans,All elected officals at the federal level who are members of the Republican Party,GOVT_ELECTED_OFFICIALS_FED_REP
Government,Government,Federal Lobbyists,Federal lobbyists,LOBBYIST
Government,Government,Fire Fighters,All those who are Likely Fire Fighters,CIVSERV_FIRE
Government,Government,First Responders,"Those who are First Responders, such as Ambulance Drivers and EMTs",FIRST_RESPONDERS
Government,Government,Government Policy Makers,Officials who are responsible for Government Policy Making,GOVT_POLICYMAKERS
Government,Government,Influencers,All Influencers that could influence policy and elected officials,GOVT_INFLUENCERS_ALL
Government,Government,Judges,All those who are likely Judges,CIVSERV_JUDGE
Government,Government,Leadership Staff and Committee Staff for Elected Officials,Leadership Staff and Committee Staff for Elected Officials,GOVT_LEADERSHIP_AND_COMMITTEE_STAFF
Government,Government,Librarian,All those who are Likely Librarians,LIBRARIAN
Government,Government,Local Elected Officials,All elected officials from local municiplities,GOVT_ELECTED_OFFICIALS_LOCAL
Government,Government,Members of Congress,All members of congress,GOVT_MEMBERS_OF_CONGRESS
Government,Government,Members of Congress--Democrats,All members of congress who are members of the Democratic Party,GOVT_MEMBERS_OF_CONGRESS_DEM
Government,Government,Members of Congress--Republicans,All members of congress who are members of the Republican Party,GOVT_MEMBERS_OF_CONGRESS_REP
Government,Government,Police Officers,All those who are Likely Police Officers,CIVSERV_POLICE
Government,Government,Postal Workers,All those who are Likely Postal Workers,CIVSERV_POSTAL
Government,Government,State Elected Officals,All elected officals at the state level,GOVT_ELECTED_OFFICIALS_STATE
Government,Government,State Elected Officals--Democrats,All elected officals at the state level who are members of the Democratic Party,GOVT_ELECTED_OFFICIALS_STATE_DEM
Government,Government,State Elected Officals--Republicans,All elected officals at the state level who are members of the Republican Party,GOVT_ELECTED_OFFICIALS_STATE_REP
Government,Government,State Staffers,Staff members for state elected officals,GOVT_STATE_STAFFERS
Government,Government,State Staffers--Democrats,Staff members for state elected officals who work for members of the Democratic Party,GOVT_STATE_STAFFERS_DEM
Government,Government,State Staffers--Republicans,Staff members for state elected officals who work for members of the Republican Party,GOVT_STATE_STAFFERS_REP
Government,Government,Top National Donors by Amount,Top National Donors by the highest amounts,GOVT_INFLUENTIAL_DONORS
Government,Government,Top National Donors by Amount,Top National Donors by the highest amounts,GOVT_INFLUENTIAL_DONORS
Affluent,Lifestyle & Interests,Collectors - Antiques,"Individuals who collect Antiques. Sources: Self-reported surveys, Registrations and Buying Activity.",COLLECTORS_ANTIQUE
Affluent,Lifestyle & Interests,Collectors - Art,"Individuals who collect Art. Sources: Self-reported surveys, Registrations and Buying Activity.",COLLECTORS_ART
Affluent,Lifestyle & Interests,Collectors - Coins,"Individuals who collect Coins. Sources: Self-reported surveys, Registrations and Buying Activity.",COLLECTORS_COIN
Affluent,Lifestyle & Interests,Collectors - Sports Memorabilia,"Individuals who collect Sports Memorabilia. Sources: Self-reported surveys, Registrations and Buying Activity.",COLLECTORS_SPORTS
Affluent,Lifestyle & Interests,Collectors - Stamps,"Individuals who collect Stamps. Sources: Self-reported surveys, Registrations and Buying Activity.",COLLECTORS_STAMPS
Affluent,Lifestyle & Interests,Interests - Antiques,"Individuals who are interested in Antiques. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_ANTIQUES
Affluent,Lifestyle & Interests,Interests - Art,"Individuals who are interested in Art. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_ART
Affluent,Lifestyle & Interests,Interests - Boating/Sailing,"Individuals who are interested in Boating and/or Sailing. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_BOATING
Affluent,Lifestyle & Interests,Interests - Cultural/Artistic Living,"Individuals who are interested in Cultural Arts, Theater, Art and/or Antiques. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_CULTURE_ARTS
Affluent,Lifestyle & Interests,Interests - Equestrian,"Individuals who are interested in Riding Horses - Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_EQUESTRIAN
Affluent,Lifestyle & Interests,Interests - Food/Wine,"Individuals who are interested in Food and/or Wine. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_FOOD_WINE
Affluent,Lifestyle & Interests,Interests - Golf,"Individuals who are interested in Golf. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_GOLF
Affluent,Lifestyle & Interests,Interests - Tennis,"Individuals who are interested in Tennis. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_TENNIS
Affluent,Lifestyle & Interests,Interests - Theater,"Individuals who are interested in Theater. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_THEATER
Affluent,Lifestyle & Interests,"Interests - Travel, Cruise","Individuals who are interested in Cruise Travel. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_TRAVEL_CRUISE
Affluent,Lifestyle & Interests,"Interests - Travel, Domestic","Individuals who are interested in Domestic Travel. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_TRAVEL_DOMESTIC
Affluent,Lifestyle & Interests,"Interests - Travel, International","Individuals who are interested in International Travel. Sources: Self-reported surveys, Registrations and Buying Activity.",INTEREST_TRAVEL_FOREIGN
